Quantity,Manufacture Part Number,Manufacturer(optional),Description(optional),LCSC Part Number(optional),Package(optional),Customer Part Number(optional)
14,4u7,,,C415373,,
14,220n,,,C163696,,
3,4u7,,,C77096,,
6,1u,,,C92796,,
1,ESDA6V1-5SC6,,,C2827672,,
1,LED,,,C965799,,
3,AnBon DSL14,,, 	C397616,,
1,USB_B_Micro,,,C2681556,,
1,Conn_01x24_Male,,,C283126,,
3,10u,,,C520273,,
4,DMG2301L-7 ,,,C508195,,
1,TF2310,,,C436854,,
2,Q_NPN_BEC,,,C181167,,
15,4K7,,,C105428,,
2,10R,,,C217691,,
14,100K,,,C15458,,
1,590K,,,C23208,,
1,430K,,,C170597,,
1,470m,,,C25040,,
2,MT3420C,,,C181741,,
1,ESP32-WROOM-32,,,C82899,,
1,CH340K,,,C968586,,
